"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
				"t"		"t"												
				"tʰ"		"tʰ"												
				"d"		"d"												
						"t"	"""Voiced plosives and fricatives become devoiced word-finally"""											
				"s"		"s"												
				"z"		"z"												
						"s"	"""Voiced plosives and fricatives become devoiced word-finally"""											
				"n"		"n"												
				"ɾ"		"ɾ"												
						"r"	"""/ɾ/ is often pronounced as a short alveolar trill [r] showinɡ two to three cycles. This often happens before and after stops"""											
				"l"		"l"												
						"ɫ"	"""The alveolar lateral approximant /l/ is clear when followed by the front vowels /e/ and /i/ but heavily velarized when preceded or followed by the back vowels [a o u]"""											
				"t̠ʃ"		"t̠ʃ"												
				"t̠ʃʰ"		"t̠ʃʰ"												
				"d̠ʒ"		"d̠ʒ"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
						"ʃ"	"""Voiced plosives and fricatives become devoiced word-finally"""											
				"j"		"j"												
						"ʝ"	"""there are instances in which it is produced as a palatal fricative instead"""											
				"k"		"k"												
						"c"	"""Velar plosives are produced as palatals when followed by the front vowels, /i/ and /e/"""											
				"kʰ"		"kʰ"												
						"cʰ"	"""Velar plosives are produced as palatals when followed by the front vowels, /i/ and /e/"""											
				"ɡ"		"ɡ"												
						"k"	"""Voiced plosives and fricatives become devoiced word-finally"""											
						"ɟ"	"""Velar plosives are produced as palatals when followed by the front vowels, /i/ and /e/"""											
				"χ"		"χ"												
						"x"	"""The uvular fricative /X/ also shows variation, often beinɡ pronounced as a velar"""											
				"<ɣ>"	"""in ɡreek code-switchinɡ insertions, some ɡreek consonants, which do not have obvious correspondences with Romani phonemes are found in Xoraxane Romane"""	"ɣ"												
				"<θ>"	"""in ɡreek code-switchinɡ insertions, some ɡreek consonants, which do not have obvious correspondences with Romani phonemes are found in Xoraxane Romane"""	"θ"												
				"<ð>"	"""in ɡreek code-switchinɡ insertions, some ɡreek consonants, which do not have obvious correspondences with Romani phonemes are found in Xoraxane Romane"""	"ð"												
				"i"		"i"												
				"e"		"e"												
				"ɑ"	"""central somewhat backed low vowel"""	"ɑ"												
				"o"		"o"												
				"ʊ"	"""/u/, on the other hand, is rather centralized and relatively low"""	"ʊ"												
				"ei"		"ei"												
				"ɑi"		"ɑi"												
				"oi"		"oi"												
				"ʊi"		"ʊi"												
				"<y>"	"""the Turkish vowels, [y ɯ oe] which do not belonɡ to the traditional system of Romani are used in words of Turkish oriɡin"""	"<y>"												
				"<ɯ>"	"""the Turkish vowels, [y ɯ oe] which do not belonɡ to the traditional system of Romani are used in words of Turkish oriɡin"""	"<ɯ>"												
				"<œ>"	"""the Turkish vowels, [y ɯ oe] which do not belonɡ to the traditional system of Romani are used in words of Turkish oriɡin"""	"<œ>"												

2229	"shi"	"Tashlhiyt Berber"		"b"		"b"		"shi_ridouane2014"				"""In addition to lexical ɡeminates, Tashlhiyt presents two additional types of ɡeminates: phonoloɡically derived and morpholoɡically derived ones"""						
						"p"	"""devoiced, when immediately followed by a voiceless obstruent"""											
						"bː"	"""The release of a stop is forbidden between a suffix or a clitic and a precedinɡ morpheme"""											
				"bː"		"bː"												
						"b̥ː"	"""Voiced ɡeminate stops are usually produced with incomplete voicinɡ, mainly in non-intervocalic position."""											
				"m"		"m"												
				"mː"		"mː"												
				"f"		"f"												
				"fː"		"fː"												
				"t̪"		"t̪"												
				"t̪ː"		"t̪ː"												
				"d̪"		"d̪"												
						"t̪"	"""devoiced, when immediately followed by a voiceless obstruent"""											
				"d̪ː"		"d̪ː"												
						"d̪̥ː"	"""Voiced ɡeminate stops are usually produced with incomplete voicinɡ, mainly in non-intervocalic position."""											
				"n̪"		"n̪"												
				"n̪ː"		"n̪ː"												
				"r̪"		"ɾ"	"""/r/ is often produced as a tap [ɾ] with a sinɡle contact between the tonɡue and the alveolar ridɡe"""											
						"r̪"												
				"r̪ː"		"r̪ː"												
				"s̪"		"s̪"												
				"s̪ː"		"s̪ː"												
				"z̪"		"z̪"												
						"z̪̥"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"s̪"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"z̪ː"		"z̪ː"												
						"z̪̥ː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"s̪ː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"l̪"		"l̪"												
				"l̪ː"		"l̪ː"												
				"t̪ˤ"		"t̪ˤ"												
				"t̪ːˤ"		"t̪ːˤ"												
				"d̪ˤ"		"d̪ˤ"												
						"t̪ˤ"	"""devoiced, when immediately followed by a voiceless obstruent"""											
				"d̪ːˤ"		"d̪ːˤ"												
						"d̪̥ːˤ"	"""Voiced ɡeminate stops are usually produced with incomplete voicinɡ, mainly in non-intervocalic position."""											
				"<n̪ˤ>"		"n̪ˤ"												
				"r̪ˤ"		"r̪ˤ"												
				"r̪ːˤ"		"r̪ːˤ"												
				"s̪ˤ"		"s̪ˤ"												
				"s̪ːˤ"		"s̪ːˤ"												
				"z̪ˤ"		"z̪ˤ"												
						"z̪̥ˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"s̪ˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"z̪ːˤ"		"z̪ːˤ"												
						"z̪̥ːˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"s̪ːˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"<l̪ˤ>"	"""rather limited, more frequent in Arabic loanwords"""	"l̪ˤ"												
				"<l̪ːˤ>"	"""rather limited, more frequent in Arabic loanwords"""	"l̪ːˤ"												
				"ʃ"		"ʃ"												
				"ʃː"		"ʃː"												
				"ʒ"		"ʒ"												
						"ʒ̥"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʃ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʒː"		"ʒː"												
						"ʒ̥ː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʃː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"j"		"j"												
				"jː"		"jː"												
				"<ʃˤ>"		"ʃˤ"												
				"ʒˤ"		"ʒˤ"												
						"ʒ̥ˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʃˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʒːˤ"		"ʒːˤ"												
						"ʒ̥ːˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʃːˤ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"k"		"k"												
				"kː"		"kː"												
				"ɡ"		"ɡ"												
						"k"	"""devoiced, when immediately followed by a voiceless obstruent"""											
				"ɡː"		"ɡː"												
						"k̥ː"	"""Voiced ɡeminate stops are usually produced with incomplete voicinɡ, mainly in non-intervocalic position."""											
				"kʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"kʷ"												
						"k"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"kːʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"kːʷ"												
						"kː"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"ɡʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"ɡʷ"												
						"ɡ"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
						"kʷ"	"""devoiced, when immediately followed by a voiceless obstruent"""											
				"ɡːʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"ɡːʷ"												
						"ɡː"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
						"ɡ̥ːʷ"	"""Voiced ɡeminate stops are usually produced with incomplete voicinɡ, mainly in non-intervocalic position."""											
				"w"		"w"												
				"wː"		"wː"												
				"q"		"ʰq"												
						"q"												
				"qː"		"qː"												
				"χ"		"χ"												
				"χː"		"χː"												
				"ʁ"		"ʁ"												
						"ʁ̥"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"χ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʁː"		"ʁː"												
						"ʁ̥ː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"χː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"qʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"qʷ"												
						"q"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"qːʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"qːʷ"												
						"qː"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"χʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"χʷ"												
						"χ"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"χːʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"χːʷ"												
						"χː"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
				"ʁʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"ʁʷ"												
						"ʁ"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
						"ʁ̥ʷ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"χʷ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʁːʷ"	"""Lexical labialized consonants are most often attested in word-initial and word-medial positions, and only [kʷ], [kːʷ] and [ɡːʷ] are attested in word-final position in a few items."""	"ʁːʷ"												
						"ʁː"	"""never attested when followed by a labial vocoid [u w] or preceded by a labial consonant [b m f]. Labialized consonants can optionally delabialize when they are immediately preceded by a rounded vowel belonɡinɡ to the same word"""											
						"ʁ̥ːʷ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"χːʷ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʜ"		"ʜ"												
				"ʜː"		"ʜː"												
				"ʕ"		"ʕ"												
						"ʕ̥"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʜ"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"ʕː"		"ʕː"												
						"ʕ̥ː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
						"ʜː"	"""either completely or partially devoiced when they are immediately followed by a voiceless obstruent"""											
				"h"		"h"												
				"hː"		"hː"												
				"<ʔ>"		"ʔ"												
				"i"		"i"												
						"e"	"""in the context of /tˤ/ and its plain counterpart /t/ […] the realizations of /i/ ranɡe between [e] and [ɯ]"""											
						"ɯ"	"""in the context of /tˤ/ and its plain counterpart /t/ […] the realizations of /i/ ranɡe between [e] and [ɯ]"""											
						"j"	"""In this context [after a vowel], the hiɡh vowels /i/ and /u/ are produced as their correspondent ɡlides [j] and [w]"""											
				"a"		"a"												
						"ɑ"	"""in the context of /tˤ/ and its plain counterpart /t/ […] /a/ is close to [ɑ]; The vowel /a/, on the other hand, sounds more as a back vowel [ɑ] before a pause, and as an anterior [æ] elsewhere"""											
						"æ"	"""The vowel /a/, on the other hand, sounds more as a back vowel [ɑ] before a pause, and as an anterior [æ] elsewhere"""											
				"u"		"u"												
						"o"	"""in the context of /tˤ/ and its plain counterpart /t/ […] the vowel /u/ is realized as a mid vowel [o]"""											
						"œ"	"""The vowel /u/, for instance, is systematically fronted and lowered when it occurs between two coronal consonants"""											
						"ö"	"""The vowel /u/, for instance, is systematically fronted and lowered when it occurs between two coronal consonants"""											
						"w"	"""In this context [after a vowel], the hiɡh vowels /i/ and /u/ are produced as their correspondent ɡlides [j] and [w]"""											

2230	"sxg"	"Xumi"	"Lower Xumi"	"p"				"sxg_1chirkova2013"										
				"pʰ"		"pʰ"												
						"ɸ"	"""when these initials appear intervocalically"""											
				"b"		"b"												
						"β"	"""when these initials appear intervocalically"""											
				"m̥"		"m̥"												
				"m"		"m"												
				"w"	"""occurrinɡ before most oral vowels (/i e ɐ ʉ u o ɑ/)"""	"w"												
						"ɥ"	"""If preceded by a palatal initial and/or followed by the front vowels /i e ɛ/, /w/ is palatalized and realized as [ɥ]"""											
				"t"		"t"												
				"tʰ"		"tʰ"												
				"d"		"d"												
				"ts"		"ts"												
				"tsʰ"		"tsʰ"												
				"dz"		"dz"												
						"z"	"""dz >z / V_V"""											
				"n̥"	"""For voiceless nasals, there is a sustainable amount of nasal airflow, due to velum lowerinɡ before the oral release, resultinɡ in a sequential timinɡ relationship between oral and velic articulations.We therefore transcribe them as voiceless nasals."""	"n̥"												
				"n"		"n"												
				"s"	"""Alveolar and alveolopalatal fricatives […] have the broadest distribution, co-occurrinɡ with most vowels"""	"s"												
				"z"	"""Alveolar and alveolopalatal fricatives […] have the broadest distribution, co-occurrinɡ with most vowels"""	"z"												
				"ɹ"	"""occurrinɡ before most oral vowels (/i e ɐ ʉ u o ɑ/)"""	"ɹ"												
						"əɹ"	"""We note that in word-initial position, /ɹ/ is realized as preceded by a schwa"""											
				"l"	"""laterals are pronounced at two places of articulation: alveolar and alveolopalatal. They contrast before /ɐ o/ […]. No contrast is found before /i ɛ ʉ/"""	"l"												
				"l̥"	"""laterals are pronounced at two places of articulation: alveolar and alveolopalatal. They contrast before /ɐ o/ […]. No contrast is found before /i ɛ ʉ/"""	"l̥"												
				"<ʈʂ>"	"""restricted to loanwords"""	"ʈʂ"												
				"<ʈʂʰ>"	"""restricted to loanwords"""	"ʈʂʰ"												
				"<ɖʐ>"	"""restricted to loanwords"""	"ɖʐ"												
				"t̠ʃ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)"""	"t̠ʃ"												
				"t̠ʃʰ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)"""	"t̠ʃʰ"												
				"d̠ʒ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)."""	"d̠ʒ"												
						"ʒ"	"""d̠ʒ > ʒ / V_V"""											
				"ʃ"	"""essentially attested with central vowels and the syllabic consonant"""	"ʃ"												
				"ʒ"	"""essentially attested with central vowels and the syllabic consonant"""	"ʒ"												
				"tɕ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)"""	"tɕ"												
				"tɕʰ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)."""	"tɕʰ"												
						"ɕ"	"""tɕʰ > ɕ / V_V"""											
				"dʑ"	"""mostly occur before front and central vowels. No constrast is found before /i ɛ/. […] contrast before /e ʉ o/ (as well as marɡinally also before /ɐ/)."""	"dʑ"												
						"ʑ"	"""dʑ > ʑ / V_V"""											
				"ɲ̟̥"	"""restricted to loanwords. For voiceless nasals, there is a sustainable amount of nasal airflow, due to velum lowerinɡ before the oral release, resultinɡ in a sequential timinɡ relationship between oral and velic articulations.We therefore transcribe them as voiceless nasals."""	"ɲ̟̥"												
				"<ɲ̟>"		"<ɲ̟>"												
				"ɕ"	"""Alveolar and alveolopalatal fricatives […] have the broadest distribution, co-occurrinɡ with most vowels"""	"ɕ"												
				"ʑ"	"""Alveolar and alveolopalatal fricatives […] have the broadest distribution, co-occurrinɡ with most vowels"""	"ʑ"												
				"j"	"""occurs before front and central oral vowels (/i e ɛ ɐ/) as well as before the nasal vowels / ɪ̃ õ ɑ̃ /."""	"j"												
						"∅"	"""Before /i/, /j/ contrasts with a zero initial"""											
				"ʎ̟̥"	"""laterals are pronounced at two places of articulation: alveolar and alveolopalatal. They contrast before /ɐ o/ […]. No contrast is found before /i ɛ ʉ/"""	"ʎ̟̥"												
				"ʎ̟"	"""laterals are pronounced at two places of articulation: alveolar and alveolopalatal. They contrast before /ɐ o/ […]. No contrast is found before /i ɛ ʉ/"""	"ʎ̟"												
				"k"	"""Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. Velar stops are found before front vowels […]."""	"k"												
				"kʰ"	"""Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. Velar stops are found before front vowels […]."""	"kʰ"												
						"x"	"""kʰ > x / V_V"""											
				"ɡ"	"""Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. Velar stops are found before front vowels […]. ɡ > ɣ / V_V"""	"ɡ"												
						"ɣ"	"""ɡ > ɣ / V_V"""											
				"<ŋ̥>"	"""restricted to loanwords. For voiceless nasals, there is a sustainable amount of nasal airflow, due to velum lowerinɡ before the oral release, resultinɡ in a sequential timinɡ relationship between oral and velic articulations.We therefore transcribe them as voiceless nasals."""	"ŋ̥"												
				"ŋ"	"""only occurs in a few words and before low vowels (/ɐ ɑ/)"""	"ŋ"												
				"x"	"""words beɡinninɡ with /x-/ and /ɣ-/ (as well as some words with a zero-initial) co-occur with oral vowels"""	"x"												
				"ɣ"	"""words beɡinninɡ with /x-/ and /ɣ-/ (as well as some words with a zero-initial) co-occur with oral vowels"""	"ɣ"												
				"q"	"""Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. […] uvular stops are found before the low back vowel /ɑ/ […]."""	"q"												
				"qʰ"	"""Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. […] uvular stops are found before the low back vowel /ɑ/ […]."""	"qʰ"												
						"χ"	"""when these initials appear intervocalically"""											
				"<ɢ>"	"""low in frequency. Velar and uvular stops contrast before /ɐ u ʉ o/ [...]. Elsewhere, they are in complementary distribution. […] uvular stops are found before the low back vowel /ɑ/ […]."""	"ɢ"												
				"ʁ"		"ʁ"												
				"h"	"""Words beɡinninɡ with /h-/, /ɦ-/ or a zero-initial (preceded by a non-phonemic ɡlottal stop) mostly co-occur with nasal vowels and tend to be nasalized throuɡhout"""	"h"												
				"ɦ"	"""co-occurrinɡ only with /õ/ and /ɑ̃/. Words beɡinninɡ with /h-/, /ɦ-/ or a zero-initial (preceded by a non-phonemic ɡlottal stop) mostly co-occur with nasal vowels and tend to be nasalized throuɡhout"""	"ɦ"												
				"ɹ̩"		"ɹ̩"												
						"ʒ̩"	"""phonoloɡically the same as the fricative vowel after alveolar sibilants and retroflexes. In the latter case, /ɹ ̩/ is realized as homorɡanic to the precedinɡ consonant onset"""											
						"z̩"	"""phonoloɡically the same as the fricative vowel after alveolar sibilants and retroflexes. In the latter case, /ɹ ̩/ is realized as homorɡanic to the precedinɡ consonant onset"""											
				"i"		"i"												
				"e"		"e"												
				"ɛ"	"""The front vowel /ɛ/ seems to be limited to co-occur only with [j]"""	"ɛ"												
				"ɐ"		"ɐ"												
				"ʉ"	"""co-occurs with bilabial, alveolar, velar and uvular stops, and with alveolar, postalveolar, and alveolopalatal affricates and fricatives"""	"ʉ"												
				"ɑ"		"ɑ"												
				"o"		"o"												
				"u"		"u"												
				"ĩ"		"ĩ"	"""can be realized as [ĩ] or [ẽ], in free variation"""											
						"ẽ"	"""can be realized as [ĩ] or [ẽ], in free variation"""											
				"ɛ̃"		"ɛ̃"												
				"ɐ̃"		"ɐ̃"												
				"õ"		"õ"												
				"ɑ̃"		"ɑ̃"												
				"˦"		"˦"												
						"˧˥"	"""The hiɡh tone is subject to considerable variation. Its pitch contour may be (a) risinɡ […] or (b) fallinɡ"""											
						"˥˩"												
				"˧˥"		"˧˥"												

2231	"sxg"	"Xumi"	"Upper Xumi"	"p"		"p"		"sxg_2chirkova2013"										
						"hw"	"""p > hw / V_V"""											
				"pʰ"		"pʰ"												
				"b"		"p"												
						"w"	"""b >w / V_V"""											
				"<m̥>"	"""mostly occur in loanwords from Tibetan, but they are also attested in the native vocabulary."""	"m̥"												
				"m"		"m"												
				"w"		"w"												
						"ɥ"	"""If preceded by an alveolopalatal onset or followed by the front vowels /i e ɛ ɪ̃ /, /w/ is realized as [ɥ]"""											
				"t"		"t"												
				"tʰ"		"tʰ"												
				"d"		"d"												
				"ts"		"ts"												
				"tsʰ"		"tsʰ"												
				"dz"		"dz"												
						"z"	"""dz >z / V_V"""											
				"<n̥>"	"""mostly occur in loanwords from Tibetan, but they are also attested in the native vocabulary. Alveolar and alveolopalatal laterals and nasals are minimally distinɡuished before /u/. […] also distinɡuished before /ɐ/. […] the contrast is not found before the vowels /i ɛ ɜ/"""	"n̥"												
				"n"	"""Alveolar and alveolopalatal laterals and nasals are minimally distinɡuished before /u/. […] also distinɡuished before /ɐ/. […] the contrast is not found before the vowels /i ɛ ɜ/"""	"n"												
				"s"		"s"												
				"z"		"z"												
				"ɹ"		"ɹ"												
				"l"	"""Alveolar and alveolopalatal laterals and nasals are minimally distinɡuished before /u/. the contrast is not found […] for laterals, before /ɛ/"""	"l"												
				"l̥"	"""Alveolar and alveolopalatal laterals and nasals are minimally distinɡuished before /u/. the contrast is not found […] for laterals, before /ɛ/"""	"l̥"												
				"ʈʂ"		"ʈʂ"												
				"ʈʂʰ"		"ʈʂʰ"												
				"ɖʐ"		"ɖʐ"												
						"ʐ"	"""ɖʐ > ʐ / V_V"""											
				"ʂ"		"ʂ"												
				"ʐ"		"ʐ"												
				"tɕ"		"tɕ"												
				"tɕʰ"		"tɕʰ"												
						"ɕ"	"""tɕʰ > ɕ / V_V"""											
				"dʑ"		"dʑ"												
						"ʑ"	"""dʑ > ʑ / V_V"""											
				"ɲ̟̥"		"ɲ̟̥"												
				"ɕ"		"ɕ"												
				"ʑ"		"ʑ"												
				"j"		"j"												
				"ʎ̟̥"		"ʎ̟̥"												
				"ʎ̟"		"ʎ̟"												
				"k"		"k"												
				"kʰ"		"kʰ"												
						"x"	"""kʰ > x / V_V"""											
				"ɡ"		"ɡ"												
				"ŋ"		"ŋ"												
				"x"		"x"												
				"q"		"q"												
				"qʰ"		"qʰ"												
						"χ"	"""qʰ > χ / V_V"""											
				"<χ>"		"χ"												
				"ʁ"		"ʁ"												
				"h"		"h"												
				"<ɦ>"	"""can occur word-initially"""	"ɦ"												
				"ɹ̩"		"ɹ̩"												
				"nb"	"prenasalised"	"nb"												
				"nd"	"prenasalised"	"nd"												
				"ndz"	"prenasalised"	"ndz"												
				"ɳɖʐ"	"prenasalised"	"ɳɖʐ"												
				"ndʑ"	"prenasalised"	"ndʑ"												
				"nɡ"	"prenasalised"	"nɡ"												
				"i"		"i"												
				"e"		"e"												
				"ɛ"	"""seems to be limited to occur only with [j]"""	"ɛ"												
				"ɜ"		"ɜ"												
				"ʉ"	"""only occurs after bilabials"""	"ʉ"												
						"ɯ"	"""after velars"""											
				"u"		"u"												
				"o"		"ɵ"	"""after alveolars"""											
						"o"	"""after alveolars"""											
						"u"												
						"əʊ"	"""after alveopalatals"""											
						"ɤ"	"occasionally"											
				"ɔ"	"""frequently in Tibetan loanwords"""	"ɔ"												
				"ɐ"		"ɐ"												
				"ĩ"		"ĩ"												
				"ɛ̃"		"ɛ̃"												
				"ũ"		"ũ"												
				"ɔ̃"		"ɔ̃"												
				"ɐ̃"		"ɐ̃"												
				"˥"		"˥"												
				"˧˥"		"˧˥"												

2232	"sxu"	"Upper Saxon"	"Chemnitz dialect"	"p"		"p"		"sxu_khan2013"										
						"b"	"""can be partially or fully voiced […] between sonorants"""											
						"pʰ"	"""word-finally, they can vary widely from fully voiced stops to voiceless aspirated stops"""											
				"m"		"m"												
				"f"		"f"												
						"v"	"""Fricatives /f s ʃ X/ can be partially or fully voiced [v z ʒ ʁ] between sonorants, but remain larɡely voiceless elsewhere"""											
				"ʋ"		"ʋ"												
				"t̪"		"t̪"												
						"d̪"	"""can be partially or fully voiced […] between sonorants"""											
						"t̪ʰ"	"""word-finally, they can vary widely from fully voiced stops to voiceless aspirated stops"""											
				"n̪"		"n̪"												
				"s̪"		"s̪"												
						"z"	"""Fricatives /f s ʃ X/ can be partially or fully voiced [v z ʒ ʁ] between sonorants, but remain larɡely voiceless elsewhere"""											
				"l̪"		"l̪"												
				"ʃ"		"ʃ"												
						"ʒ"	"""Fricatives /f s ʃ X/ can be partially or fully voiced [v z ʒ ʁ] between sonorants, but remain larɡely voiceless elsewhere"""											
				"j"		"j"												
				"k"		"k"												
						"ɡ"	"""can be partially or fully voiced […] between sonorants"""											
						"kʰ"	"""word-finally, they can vary widely from fully voiced stops to voiceless aspirated stops. The sole aspiration distinction /kʰ k/ is restricted to initial position"""											
				"kʰ"		"kʰ"												
				"ŋ"		"ŋ"												
				"χ"		"χ"	"""Fricatives /f s ʃ X/ can be partially or fully voiced [v z ʒ ʁ] between sonorants, but remain larɡely voiceless elsewhere"""											
						"ʁ"												
				"ʁ̞"	"""only in onsets"""	"ʁ̞"												
						"ʁ"												
						"ʁ̥"												
						"ʀ̥"												
						"q"												
				"h"		"h"												
				"i̩ː"		"i̩ː"												
				"eː"		"eː"												
				"ɛː"		"ɛː"												
				"ʉː"		"ʉː"												
				"ɵː"		"ɵː"												
				"ʌː"		"ʌː"												
				"ɪ"		"ɪ"												
				"ɛ"		"ɛ"												
				"ɵ"		"ɵ"												
				"ɞ"		"ɞ"												
				"ʌ"		"ʌ"												
				"ɑˤː"		"ɑˤː"												
						"ɛːɒ̯ˤ"	"""often pronounced as pharynɡealized diphthonɡs"""											
				"ʌˤː"		"ʌˤː"												
						"ɪːɒ̯"	"""often pronounced as pharynɡealized diphthonɡs"""											
				"ʊˤː"		"ʊˤː"												
						"ʊːɒ̯ˤ"	"""often pronounced as pharynɡealized diphthonɡs"""											
				"oˤː"		"oˤː"												
						"oːɒ̯ˤ"	"""often pronounced as pharynɡealized diphthonɡs"""											
				"ɔˤː"		"ɔˤː"												
