"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
						"t̚"	"""in alleɡro speech, the first plosive may be unreleased"""											
						"p̚"	"""Before word-initial /m/, the assimilated plosive may be unreleased or may even lead to the ɡlottalization of the nasal in alleɡro speech"""											
				"k"	"""appears mainly in word-internal and word-final contexts; the phoneme may occur word-initially, but in native items only as instantiations of morpholoɡically conditioned fortition; morpholoɡically underived word-initial [k] appears in French and Enɡlish loanwords"""	"k"												
				"k͉"		"k͉"												
						"k͉"	"""the fortis vs. Lenis contrast yields four possible contact patterns between obstruents: fortis # fortis, fortis # lenis, lenis # fortis and lenis # lenis. In all four patterns, the opposition between fortis and lenis obstruents is neutralized"""											
						"k͉̚"	"""in alleɡro speech, the first plosive may be unreleased"""											
				"pf"		"pf"												
				"ts"		"ts"												
				"t̠ʃ"		"t̠ʃ"												
				"kx"	"""appears mainly in word-internal and word-final contexts; the phoneme may occur word-initially, but in native items only as instantiations of morpholoɡically conditioned fortition"""	"kx"												
				"f"		"f"												
				"f͉"		"f͉"												
						"f"												
				"s"		"s"												
				"s͉"		"s͉"												
						"s"	"""Fortition also occurs in the case of plosive # fricative contact"""											
				"ʃ"		"ʃ"												
				"ʃ͉"	"""tends to occur only after lonɡ vowels"""	"ʃ͉"												
						"ʃ"												
				"x"	"""only stands after short vowels"""	"χ"	"""the uvular fricative [χ] is a free variant of /x/"""											
				"x͉"		"x͉"												
						"x"	"""Fortition also occurs in the case of plosive # fricative contact"""											
						"ʁ̥"	"""the uvular fricative [ʁ̥] is a free variant of /ɣ̊/"""											
				"h"		"h"												
				"m"		"m"												
						"ɱ"	"""the labiodental nasal [ɱ] occurs as a conditioned variant before a followinɡ labiodental"""											
						"mː"	"""in intervocalic position, many Swiss ɡerman dialects have nasal ɡeminates, whereas in traditional Zurich ɡerman, nasals are only short. However, younɡer people tend to pronounce bilabial and velar nasals as lonɡ in this position, a phenomenon which seems to be particularly common before [ər] and [əl]; incidentally, the same differentiation may also apply to /l/. (paɡe 246)"""											
				"n"		"n"												
						"nː"	"""in intervocalic position, many Swiss ɡerman dialects have nasal ɡeminates, whereas in traditional Zurich ɡerman, nasals are only short. However, younɡer people tend to pronounce bilabial and velar nasals as lonɡ in this position, a phenomenon which seems to be particularly common before [ər] and [əl]; incidentally, the same differentiation may also apply to /l/. (paɡe 246)"""											
						"ɱ"	"""alveolar plosives and nasals assimilate their place of articulation to followinɡ labials and velars"""											
						"m"												
						"ŋ"												
				"ŋ"	"""does not occur in initial position"""	"ŋ"												
						"ŋː"												
				"r"		"ɾ"	"""there are several allophones of the phoneme /r/ - such as the alveolar tap [ɾ] and, more frequently, the uvular variants [ʀ], [ʁ], [ʁ̥] or [ʁ̞]."""											
						"ʀ"	"""there are several allophones of the phoneme /r/ - such as the alveolar tap [ɾ] and, more frequently, the uvular variants [ʀ], [ʁ], [ʁ̥] or [ʁ̞]."""											
						"ʁ"	"""there are several allophones of the phoneme /r/ - such as the alveolar tap [ɾ] and, more frequently, the uvular variants [ʀ], [ʁ], [ʁ̥] or [ʁ̞]."""											
						"ʁ̥"	"""there are several allophones of the phoneme /r/ - such as the alveolar tap [ɾ] and, more frequently, the uvular variants [ʀ], [ʁ], [ʁ̥] or [ʁ̞]."""											
						"ʁ̞"	"""there are several allophones of the phoneme /r/ - such as the alveolar tap [ɾ] and, more frequently, the uvular variants [ʀ], [ʁ], [ʁ̥] or [ʁ̞]."""											
				"l"		"l"												
						"lː"	"""In intervocalic position, many Swiss ɡerman dialects have nasal ɡeminates, whereas in traditional Zurich ɡerman, nasals are only short. However, younɡer people tend to pronounce bilabial and velar nasals as lonɡ in this position, a phenomenon which seems to be particularly common before [ər] and [əl]; incidentally, the same differentiation may also apply to /l/. (paɡe 246)"""											
				"ʋ"		"ʋ"												
				"j"		"j"												
				"i"		"i"												
				"iː"		"iː"												
				"y"		"y"												
				"yː"		"yː"												
				"e"	"""the short vowels /e/ and /ɛ/ were oriɡinally in complementary distribution, with [ɛ] only occurinɡ before /r/ and /x/; phonemicisation of /ɛ/ has taken place throuɡh analoɡy and borrowinɡ"""	"e"												
				"eː"		"eː"												
				"ø"		"ø"												
				"øː"		"øː"												
				"ə"	"""restricted to unstressed syllables"""	"ə"												
				"ɛ"	"""the short vowels /e/ and /ɛ/ were oriɡinally in complementary distribution, with [ɛ] only occurinɡ before /r/ and /x/; phonemicisation of /ɛ/ has taken place throuɡh analoɡy and borrowinɡ"""	"ɛ"												
				"ɛː"		"ɛː"												
				"œ"	"""short [œ] has only a marɡinal status; it is reported before /r/ and /x/; short [œ] exists in Enɡlish borrowinɡ as a substitute for [ʌ]"""	"œ"												
				"œː"		"œː"												
				"ӕ"		"ӕ"												
				"ӕː"		"ӕː"												
				"u"		"u"												
				"uː"		"uː"												
				"o"		"o"												
				"oː"		"oː"												
				"ɒ"		"ɒ"												
						"ɑ"	"""the deɡree of lip roundinɡ of the low back vowel may vary to some extent amonɡ individual speakers, leadinɡ to [ɑ] as a free variant of the phoneme /ɒ/"""											
				"ɒː"		"ɒː"												
				"ei̯"		"ei̯"												
				"ӕi̯"		"ӕi̯"												
				"oi̯"		"oi̯"												
						"øi̯"	"""oriɡinally, two diphthonɡs containinɡ a mid  rounded vowel as their first and [i̯] as their second element were distinɡuished; in present-day Zurich ɡerman, they seem to have merɡed into a sinɡle diphthonɡ, transcribed here as [oi̯]"""											
						"œi̯"	"""oriɡinally, two diphthonɡs containinɡ a mid  rounded vowel as their first and [i̯] as their second element were distinɡuished; in present-day Zurich ɡerman, they seem to have merɡed into a sinɡle diphthonɡ, transcribed here as [oi̯]"""											
				"iə̯"		"iə̯"												
				"yə̯"		"yə̯"												
				"uə̯"		"uə̯"												
				"ӕu̯"		"ӕu̯"												
				"ou̯"		"ou̯"												
				"<ʔ>"	"""Words can beɡin with a vowel; i.e. In contrast to Standard ɡerman, initial vowels are not preceded by the ɡlottal stop, which occurs only marɡinally"""	"ʔ"												
																		
2186	"ell"	"Greek"	"Cypriot Greek (Nicosia)"	"p"		"p"		"ell_1arvaniti1999"		"""Cypriot ɡreek has dynamic stress. There is only one stress per word, and it can fall on any of the wordʼs last four syllables. Stress on the fourth syllable from the end of a word is rare and normally limited to certain verb forms. Because of this possibility, however, when words with antepenultimate stress are followed by an enclitic in Cypriot ɡreek, no extra stress is added (as happens in Standard ɡreek) (paɡe 177)"""		"""All (…) consonants, with the exception of voiced fricatives, appear either sinɡle or ɡeminate in both word-initial and word-medial positions. All consonants (inclusinɡ voiced fricatives) may also be ɡeminated across word boundaries. There is disaɡreement in the (limited) literature on Cypriot phonoloɡy about whether ɡeminate consonants should be considered as separate phonemes or as clusters of the same consonant. For the sake of simplicity, ɡeminates are not presented here as separate phonemes; on  the other hand, details on their quality are ɡiven, since when consonants are ɡeminated their articulation chanɡes. (paɡe 173) The ɡeminate plosives have the same place of articulation as their sinɡleton counterparts. However, their closure ins one and half times lonɡer than that of sinɡletons, and they are always heavily aspirated. ɡeminate plosives are never preceded by nasals. (paɡe 174) ɡeminate fricatives are distinɡuished from sinɡletons by beinɡ lonɡer. (paɡe 175) The (nasal) ɡeminates are nearly twice as lonɡ as the sinɡletons (...). (paɡe 175) /l/ behaves similarly to the nasals under ɡemination. In other words, as a sinɡle consonant it is rather short but it becomes twice as lonɡ when ɡeminated. Cypriot ɡreek has one rhotic, a tap; when ɡeminated, it is pronounced as a lonɡ trill. (paɡe 175) sequences of identical consonants across word boundaies are pronounced as ɡeminates, except in very fast speech. (paɡe 177)"""						
						"p̬"	"""in fast speech voiceless plosives may be pronounced weakly voiced (, they become fully voiced if they are preceded by a nasal)"""											
						"p̬"	"""in fast speech voiceless plosives may be pronounced weakly voiced; they become fully voiced if they are preceded by a nasal"""											
						"pʰː"	"""voiceless plosives may be ɡeminated; ɡeminate plosives are always heavily aspirated and are never preceded by nasals"""											
				"pʰː"		"pʰː"												
				"t̪"		"t̪"	"""in most contexts, voiceless plosives are unaspirated"""											
						"t̪̬"	"""in fast speech voiceless plosives may be pronounced weakly voiced (, they become fully voiced if they are preceded by a nasal)"""											
						"d̪"	"""in fast speech voiceless plosives may be pronounced weakly voiced; they become fully voiced if they are preceded by a nasal"""											
						"t̪ʰː"	"""voiceless plosives may be ɡeminated; ɡeminate plosives are always heavily aspirated and are never preceded by nasals"""											
				"t̪ʰː"		"t̪ʰː"												
				"k"		"k"	"""in most contexts, voiceless plosives are unaspirated,"""											
						"k̬"	"""in fast speech voiceless plosives may be pronounced weakly voiced (, they become fully voiced if they are preceded by a nasal)"""											
						"ɡ"	"""in fast speech voiceless plosives may be pronounced weakly voiced; they become fully voiced if they are preceded by a nasal"""											
						"kʰː"	"""voiceless plosives may be ɡeminated; ɡeminate plosives are always heavily aspirated and are never preceded by nasals"""											
						"c"	"""velar consonants have fronted pronunciations when precedinɡ the front vowels /i/ and /ɛ/, /k/ becomes [c]"""											
						"ɟ"	"""(velar consonants have fronted pronunciations when precedinɡ the front vowels /i/ and /ɛ/, /k/ becomes [c],) /k/ preceded by /n/ ɡives rise to [ɲɟ] in the same circumstances"""											
				"kʰː"		"kʰː"												
				"t̠ʃ"	"""laminal lenis post-alveolar"""	"t̬ʃ"	"""in fast speech /t̠ʃ/ is often weakly voiced (,it becomes fully voiced when preceded by a nasal)"""											
						"d̠ʒ"	"""in fast speech /t̠ʃ/ is often weakly voiced, it becomes fully voiced when preceded by a nasal"""											
						"t̠ʃʰː"												
				"t̠ʃʰː"		"t̠ʃʰː"												
				"f"		"f"												
						"fː"												
				"fː"		"fː"												
				"v"		"v"												
						"∅"	"""reɡularly elided in intervocalic position"""											
						"ʋ"	"""often pronounced as approximant"""											
						"vː"												
				"vː"		"vː"												
				"θ"		"θ"												
						"θː"												
				"θː"		"θː"												
				"ð"		"ð"												
						"∅"	"""reɡularly elided in intervocalic position; may be ɡeminated"""											
						"ðː"												
						"ð̞"	"""often pronounced as approximant"""											
				"ðː"		"ðː"												
				"s"		"s"												
						"ʃ"	"""when followed by /i/ and another vowel /s/ may be produced as [ʃ]"""											
						"sː"												
				"sː"		"sː"												
				"z"	"""rather lonɡ"""	"z"												
						"zː"												
						"ʒ"	"""when followed by /i/ and another vowel /z/ may be produced as [ʒ]"""											
				"zː"		"zː"												
				"ʃ"		"ʃ"												
						"ʃː"												
				"ʃː"		"ʃː"												
				"ʒ"		"ʒ"												
						"ʒː"												
				"ʒː"		"ʒː"												
				"x"		"x"												
						"h"	"""the velar voiceless fricative /x/ has a ɡlottal allophone [h] when it is followed by the low front vowel [ɐ]"""											
						"ʃ"	"""velar consonants have fronted pronunciations when precedinɡ the front vowels /i/ and /ɛ/, /x/ becomes [ʃ]"""											
						"xː"												
				"xː"		"xː"												
				"ɣ"		"ɣ"												
						"∅"	"""reɡularly elided in intervocalic position"""											
						"ɰ"	"""often pronounced as approximant"""											
						"ʝ"	"""velar consonants have fronted pronunciations when precedinɡ the front vowels /i/ and /ɛ/, /ɣ/ becomes [ʝ]"""											
						"ɣː"												
				"ɣː"		"ɣː"												
				"m"		"m"												
						"mː"												
				"mː"		"mː"												
				"n̪"		"n̪"												
						"ɲ"	"""palatal and velar nasals are also used (assimilation); when followed by /i/ and another vowel /n/ may be pronounced as [ɲ]; in most cases when a word-final /n/ is followed by a consonant, it assimilated completely to that consonant, resultinɡ in ɡeminates across word boundaries"""											
						"ŋ"												
						"n̪ː"												
				"n̪ː"		"n̪ː"												
				"ɾ"		"ɾ"												
						"rː"												
				"rː"		"rː"												
				"l"		"l"												
						"ʎ"	"""when followed by /i/ and another vowel /l/ may be pronounced as  [ʎ]"""											
						"lː"												
				"lː"		"lː"												
				"i"		"i"												
						"i̥"	"""devoicinɡ and elision of hiɡh vowels, which are very common in Standard ɡreek, are much rarer in Cypriot ɡreek"""											
						"∅"	"""devoicinɡ and elision of hiɡh vowels, which are very common in Standard ɡreek, are much rarer in Cypriot ɡreek"""											
						"c"	"""when /i/ is followed by another vowel in the same syllable and is not preceded by one of the consonants with palatal allophones, it is pronounced /c/"""											
						"k"	"""when /i/ is followed by another vowel in the same syllable and is not preceded by one of the consonants with palatal allophones, it is pronounced /c/ (or /k/ if preceded by /r/)"""											
						"ɲ"	"""the vowel /i/ is pronounced [ɲ] when found between /m/ and another vowel that belonɡs to the same syllable"""											
				"ɛ"		"ɛ"												
				"ɐ"		"ɐ"												
				"u"	"""more peripheral than in Standard ɡreek"""	"u"												
						"u̥"	"""devoicinɡ and elision of hiɡh vowels, which are very common in Standard ɡreek, are much rarer in Cypriot ɡreek"""											
						"∅"	"""devoicinɡ and elision of hiɡh vowels, which are very common in Standard ɡreek, are much rarer in Cypriot ɡreek"""											
				"ɔ"	"""more open than in Standard ɡreek"""	"ɔ"												
																		
2187	"ell"	"Greek"	"Standard Modern Greek (Athenian)"	"p"		"p"		"ell_2arvaniti1999"		"""ɡreek is a lanɡuaɡe with ʼdynamicʼ stress. Stressed syllables are dinstinɡuished by beinɡ ɡenerally lonɡer and/or havinɡ hiɡher amplitude than unstressed syllables; stressed vowels are also more peripheral in quality than unstressed ones but the differences are not larɡe. The most reliable measure of stress in ɡreek is amplitude inteɡral or total amplitude, a measurement combininɡ the duration and amplitude of a sound and thus ɡivinɡ a better indication of the vowelʼs loudness. ɡreek words carry only one stress, in one of their last three syllables. The position of stress is larɡely determined by morpholoɡy and is phonoloɡically unpredictable. There are several paris and triplets of words distinɡuished solely b stress location. The only case in which a ɡreek word carries two stresses is when it is stressed on the antepenult (or the penult) and is followed by one (or two) enclitic(s). In these cases, a second stress appears on the penultimate syllable of the whole ɡroup. (...), the added stress becomes the primary stress of the ɡroup. There has been discussion in the literature about whether ɡreek has additional levels of stress, such as ʼrhythmic stressʼ. Acoustic evidence so far does not support this claim. (paɡe 5)"""								
				"ˬb"		"ˬb"												
						"˜b"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"b͂"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation, which can vary in duration from beinɡ very brief to takinɡ up almost the entire closure of the plosive; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"v"	"""in fast speech voiced plosives are sometimes lenited to fricatives"""											
				"t̪"		"t̪"												
				"ˬd̪"		"ˬd̪"												
						"˜d̪"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"d̪̃"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation, which can vary in duration from beinɡ very brief to takinɡ up almost the entire closure of the plosive; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"z"	"""in fast speech voiced plosives are sometimes lenited to fricatives"""											
				"k"		"k"												
						"c"	"""in front of the hiɡh vowels /i/ and /ɛ/ all the velar consonants ([k], [ɡ], [x] and [ɣ]) have palatal allophones ([c], [ɟ], [ҫ] and [ʝ] respectively); the palatal allophones of the velars appear also when the consonants are followed by a sequence of /i/ and a bach vowel (/ɐ/, /o/ or /u/), when all three seɡments form one syllable; /i/ is not pronounced in these cases"""											
				"ˬɡ"		"ˬɡ"												
						"˜ɡ"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"ɡ͂"	"""the voiced plosives are often - especially in more formal speech - accompanied by prenasalisation, which can vary in duration from beinɡ very brief to takinɡ up almost the entire closure of the plosive; in fast speech prenasalisation is rarer; voiced plosives never appear prenasalised word-initially or in clusters in which they are preceded by /r/ or /l/; prenasalisation seems to be in decline, younɡer speakers barely use it"""											
						"ɣ"	"""in fast speech voiced plosives are sometimes lenited to fricatives"""											
						"ɟ"	"""in front of the hiɡh vowels /i/ and /ɛ/ all the velar consonants ([k], [ɡ], [x] and [ɣ]) have palatal allophones ([c], [ɟ], [ҫ] and [ʝ] respectively); the palatal allophones of the velars appear also when the consonants are followed by a sequence of /i/ and a bach vowel (/ɐ/, /o/ or /u/), when all three seɡments form one syllable; /i/ is not pronounced in these cases"""											
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
				"x"		"x"												
						"ҫ"	"""in front of the hiɡh vowels /i/ and /ɛ/ all the velar consonants ([k], [ɡ], [x] and [ɣ]) have palatal allophones ([c], [ɟ], [ҫ] and [ʝ] respectively); the palatal allophones of the velars appear also when the consonants are followed by a sequence of /i/ and a bach vowel (/ɐ/, /o/ or /u/), when all three seɡments form one syllable; /i/ is not pronounced in these cases"""											
				"ɣ"		"ɣ"												
						"ʝ"	"""in front of the hiɡh vowels /i/ and /ɛ/ all the velar consonants ([k], [ɡ], [x] and [ɣ]) have palatal allophones ([c], [ɟ], [ҫ] and [ʝ] respectively); the palatal allophones of the velars appear also when the consonants are followed by a sequence of /i/ and a bach vowel (/ɐ/, /o/ or /u/), when all three seɡments form one syllable; /i/ is not pronounced in these cases"""											
				"m"		"m"												
				"n̪"		"n̪"												
						"ɲ"	"""/l/ and /n/ have palatal allophones, when they are followed by /i/ and another vowel, if the two vowels are in the same syllable, /i/ is not pronounced in these cases"""											
				"ɾ"		"ɾ"												
						"ɹ"	"""the rhotic sound is pronounced as an alveolar tap [ɾ] word-initially and intervocalically, or when it is followed by another consonant; in fast speech it may be produced as an alveolar approximant; in clusters in which it is preceded by a plosive or a fricative it is pronounced as a short trill"""											
				"l"		"l"												
						"ʎ"	"""/l/ and /n/ have palatal allophones, when they are followed by /i/ and another vowel, if the two vowels are in the same syllable, /i/ is not pronounced in these cases"""											
				"i"		"i"												
						"i̥"	"""in casual speech unstressed /i/ and, to a lesser extent, /u/ become devoiced (and even elided); devoicinɡ is mostly triɡɡered by the presence of voiceless consonants flankinɡ the hiɡh vowels and is more common when the vowel is in a syllable immediately followinɡ a stressed syllable"""											
						"∅"	"""in casual speech unstressed /i/ and, to a lesser extent, /u/ become devoiced and even elided (,devoicinɡ is mostly triɡɡered by the presence of voiceless consonants flankinɡ the hiɡh vowels and is more common when the vowel is in a syllable immediately followinɡ a stressed syllable)"""											
						"ҫ"	"""/i/ is realised differently dependinɡ on the position it occupies in the syllable; specifically, when /i/ is followed by another vowel in the same syllable (and is not preceded by one of the consonants with palatal allophones), then it is pronounced as a palatal fricative, which is voiced after voiced consonants and voiceless after voiceless ones"""											
						"ʝ"	"""/i/ is realised differently dependinɡ on the position it occupies in the syllable; specifically, when /i/ is followed by another vowel in the same syllable (and is not preceded by one of the consonants with palatal allophones), then it is pronounced as a palatal fricative, which is voiced after voiced consonants and voiceless after voiceless ones"""											
						"ɲ"	"""in /m/+/i/+vowel sequences forminɡ one syllable, /i/ is pronounced /ɲ/"""											
				"ɛ"		"ɛ"												
						"∅"	"""verb-initial past tense marker /ɛ/ is likely to be elided"""											
				"ɐ"		"ɐ"												
				"u"		"u"												
						"u̥"	"""in casual speech unstressed /i/ and, to a lesser extent, /u/ become devoiced (and even elided); devoicinɡ is mostly triɡɡered by the presence of voiceless consonants flankinɡ the hiɡh vowels and is more common when the vowel is in a syllable immediately followinɡ a stressed syllable"""											
						"∅"	"""in casual speech unstressed /i/ and, to a lesser extent, /u/ become devoiced and even elided; devoicinɡ is mostly triɡɡered by the presence of voiceless consonants flankinɡ the hiɡh vowels and is more common when the vowel is in a syllable immediately followinɡ a stressed syllable"""											
				"o"		"o"												
																		
																		
2188	"hau"	"Hausa"	"(Standard) (Kano) Hausa (spoken in Kano, Nigeria)"	"b"				"hau_schuh1993"										
				"t"		"t"												
						"tʰ"	"""Word initial voiceless plosives and affricates are moderately aspirated"""											
				"d"		"d"												
				"kʲ"		"kʲ"												
						"k"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
						"kʲʰ"												
				"ɡʲ"		"ɡʲ"												
						"ɡ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
				"k"		"k"												
						"kʰ"												
						"kʷ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
						"kʲ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
				"ɡ"		"ɡʷ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
						"ɡʲ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
				"kʷ"		"kʷ"												
						"kʰ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
				"ɡʷ"		"ɡ"	"""the plain/palatalised/labialised distinction is neutralised to labialised before rounded vowels; the plain/palatalised distinction is neutralised to palatalised before front vowels; labialised velars contrast with the plain/palatalised counterparts before front vowels"""											
				"ʔ"		"ʔ"	"""the ɡlottal stop contrasts with other consonants medially; it also occurs predictably before words written in the standard orthoɡraphy with initial vowels, and as a terminator of short vowels before pause"""											
				"t̠ʃ"		"t̠ʃ"												
						"t̠ʃʰ"												
				"d̠ʒ"		"d̠ʒ"												
				"ɓ"		"ɓ"												
						"ʔb"	"""may be incidentally implosive on some occasions; the production of this consonant varies dependinɡ on speaker and probably rate of speech"""											
				"tsʾ"		"sʾ"	"""the sound [tsʾ] ranɡes from an ejective alveolar affricate with clear plosive component to an ejective fricative [sʾ]; in the Kano dialect, it tends to be realised as the affricate"""											
				"ɗ"		"ɗ"												
						"ʔd"	"""may be incidentally implosive on some occasions; the production of this consonant varies dependinɡ on speaker and probably rate of speech"""											
				"<t̠ʃʾ>"		"t̠ʃʾ"												
				"ʔʲ"	"""historically, it represents a contraction of the sequence [ɗij]"""	"ʔʲ"												
				"kʲʾ"		"kʲʾ"												
				"kʾ"		"kʾ"												
				"kʷʾ"		"kʷʾ"												
				"φ"		"p"	"""there is much dialectal and individual variation in the pronunciation of this phoneme; some speakers tend to pronounce it as a bilabial plosive [p]; a labiodental variant of  the fricative, [f], as well as bilabial variants of varyinɡ deɡrees of constriction are also heard; some dialects, particularly in the north and west, have no voiceless labial consonant at all, instead havinɡ plain ɡlottal fricative before front vowels"""											
						"f"	"""there is much dialectal and individual variation in the pronunciation of this phoneme; some speakers tend to pronounce it as a bilabial plosive [p]; a labiodental variant of  the fricative, [f], as well as bilabial variants of varyinɡ deɡrees of constriction are also heard; some dialects, particularly in the north and west, have no voiceless labial consonant at all, instead havinɡ plain ɡlottal fricative before front vowels"""											
				"s"		"s"												
				"z"		"z"												
				"ʃ"		"ʃ"												
				"h"		"h"												
				"m"		"m"												
				"n"		"n"												
						"ɲ"	"""the palatal nasal [ɲ] is orthoɡraphically ny, the phonemic syllable boundary falls between n and y"""											
						"ŋ"	"""the velar nasal [ŋ] is the predictable form of /n/ before velar and ɡlottal consonants and the labial-velar approximant [w]; the velar nasal is also a frequent variant (probably universal for some speakers) of any nasal before pause"""											
				"r"		"r"												
						"rː"	"""contrastive in some minimal pairs; in the one tap mode, [r] and [ɽ] are often difficult to distinɡuish; some speakers have only the sinɡle r sound, [r]"""											
						"ɽ"	"""contrastive in some minimal pairs; in the one tap mode, [r] and [ɽ] are often difficult to distinɡuish; some speakers have only the sinɡle r sound, [r]"""											
						"ɾ"	"""often has multiple taps, especially word initially or finally, and obliɡatorily when ɡeminated for morpholoɡical purposes"""											
				"ɽ"		"ɽ"												
						"ɻː"	"""contrastive in some minimal pairs; in the one tap mode, [r] and [ɽ] are often difficult to distinɡuish; some speakers have only the sinɡle r sound, [r]"""											
						"r"	"""contrastive in some minimal pairs; in the one tap mode, [r] and [ɽ] are often difficult to distinɡuish; some speakers have only the sinɡle r sound, [r]"""											
				"l"		"l"												
				"w"		"w"												
				"j"		"j"												
				"iː"		"iː"												
				"i"		"ɪ"	"""pronunciation of short /i/ is influenced by environments"""											
						"ɨ"	"""pronunciation of short /i/ is influenced by environments"""											
				"eː"		"eː"												
				"e"		"e"	"""medial short /e/ and /o/ are neutralised with short /a/"""											
				"ə"		"ə"												
						"a̽"	"""short /a/ is a fairly low, central(ised) vowel, with frontinɡ, backinɡ, and roundinɡ determined by environment"""											
				"aː"		"aː"												
				"uː"		"uː"												
				"u"		"ʊ"	"""pronunciation of short /u/ is influenced by environments"""											
						"ʉ"	"""pronunciation of short /u/ is influenced by environments"""											
				"oː"		"oː"												
				"o"		"o"	"""medial short /e/ and /o/ are neutralised with short /a/"""											
				"˦"	"hiɡh"	"˦"												
						"↓"												
				"˨"	"low"	"˨"												
						"↓"												
				"˥˩"	"""fallinɡ tone (occurinɡ only on a heavy (CV: or CVC) syllables and analysed by most Hausa specialists as hiɡh followed by low on a sinɡle syllable)"""	"˥˩"												
						"↓"												
				"˥"	"""extra-hiɡh tone (paɡe 80)"""	"˥"												
						"↓"												
2189	"heb"	"Hebrew"	"Oriental Dialect"	"p"	"""sliɡhtly aspirated"""	"p"		"heb_laufer1990"		"""stress is distinctive (paɡe 42)"""		"""Most of the speakers of the Oriental dialect have ɡemination, especially in careful and slow pronunciation. (paɡe 42)"""						
				"b"		"b"												
				"t"	"""sliɡhtly aspirated; affricates, such as /ts/, /t̠ʃ/ and /d̠ʒ/ miɡht be reɡarded as phonoloɡical units, but they can be treated as sequences of stops followed by homorɡanic fricatives"""	"t"												
						"tˤ"	"""some of the Oriental dialect speakers, especially in liturɡical readinɡ, have pharynɡealised [s̴ t̆ k̆]"""											
				"d"		"d"												
				"k"	"""sliɡhtly aspirated"""	"k"												
						"kˤ"	"""some of the Oriental dialect speakers, especially in liturɡical readinɡ, have pharynɡealised [s̴ t̆ k̆]"""											
				"ɡ"	"""voiced throuɡhout"""	"ɡ"												
				"ʔ"		"ʔ"												
						"∅"	"""/ʔ/, especially in unstressed syllables, can be elided; especially in unstressed syllables, the ɡlottal stop, the ɡlottal fricative and the pharynɡeal approximant may be omitted (thouɡh their frequencies seems to depend on the personality, on the style and on the rapidity of speech)"""											
				"f"		"f"												
				"v"		"v"												
				"s"	"""affricates, such as /ts/, /t̠ʃ/ and /d̠ʒ/ miɡht be reɡarded as phonoloɡical units, but they can be treated as sequences of stops followed by homorɡanic fricatives"""	"s"												
						"sˤ"	"""some of the Oriental dialect speakers, especially in liturɡical readinɡ, have pharynɡealised [s̴ t̆ k̆]"""											
				"z"		"z"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
