"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Notes"	"Allophones"	"AllophoneNotes"	"FileNames"
			"t̠ʃ"				
			"d̠ʒ"				
			"ɡ"				
			"k"				
			"ŋ"				
			"ɡʷ"	"""Distinct from velars only in word-final position, or followed by a consonant, or by a, e, i"""			
			"kʷ"	"""Distinct from velars only in word-final position, or followed by a consonant, or by a, e, i"""			
			"ŋʷ"	"""Distinct from velars only in word-final position, or followed by a consonant, or by a, e, i"""			
			"q"				
			"ɢ"				
			"qʷ"	"""Distinct from velars only in word-final position, or followed by a consonant, or by a, e, i"""			
			"ɢʷ"	"""Distinct from velars only in word-final position, or followed by a consonant, or by a, e, i"""			
			"w"				
			"j"				
			"i"				
			"e"				
			"æ"				
			"a"				
			"ə"				
			"o"				
			"u"				
			"˦"				
			"˧"				
			"˨"				
			"˥˩"				
							
							
"ahk"	"Akha"		"p"				"ahk_panadda1993.pdf"
			"pʰ"				
			"b"				
			"m"				
			"t"				
			"tʰ"				
			"d"				
			"s"				
			"z"		"[ð]"	"""Occurs only with low central vowel; /a/"""	
					"[z]"		
			"ts"				
			"tsʰ"				
			"dz"				
			"n"				
			"l"				
			"t̠ʃʰ"				
			"d̠ʒ"				
			"tç"				
			"tçʰ"				
			"ɲ"				
			"j"				
			"k"				
			"kʰ"				
			"ɡ"				
			"x"				
			"ɣ"				
			"ŋ"				
			"ʔ"				
			"h"				
			"i"				
			"e"				
			"ɛ"				
			"a"				
			"ɔ"				
			"o"				
			"u"				
			"ɯ"				
			"ə"				
			"ø"				
			"ã"				
			"ɔ̃"				
			"ũ"				
							
							
"aly"	"Alyawarra"		"p"		"[b]"	"""When between a nasal or a lateral and a vowel"""	"aly_yallop1977.pdf"
					"[pʰ]"	"""When at the beginning of a stressed syllable (unless they are preceded by a nasal or lateral)"""	
			"pm"				
			"m"				
			"w"				
			"t̪"		"[d̪]"	"""When between a nasal or a lateral and a vowel"""	
					"[t̪ʰ]"	"""When at the beginning of a stressed syllable (unless they are preceded by a nasal or lateral)"""	
			"t̪n̪"				
			"n̪"				
			"l̪"				
			"t"		"[d]"	"""When between a nasal or a lateral and a vowel"""	
			"tn"		"[tʰ]"	"""When at the beginning of a stressed syllable (unless they are preceded by a nasal or lateral)"""	
							
			"n"				
			"l"				
			"r"		"[ɾ]"		
			"ʈ"		"[ɖ]"	"""When between a nasal or a lateral and a vowel"""	
					"[ʈʰ]"	"""When at the beginning of a stressed syllable (unless they are preceded by a nasal or lateral)"""	
			"ʈɳ"				
			"ɳ"				
			"ɭ"				
			"ɽ"				
			"c"				
			"cɲ"				
			"ɲ"				
			"ʎ"				
			"y"				
			"k"		"[ɡ]"	"""When between a nasal or a lateral and a vowel"""	
					"[kʰ]"	"""When at the beginning of a stressed syllable (unless they are preceded by a nasal or lateral)"""	
			"kŋ"				
			"ŋ"				
			"i"		"[ə]"		
					"[ɪ]"	"""In word-initial position"""	
					"[jɪ]"	"""In word-initial position"""	
					"[jə]"	"""In word-initial position"""	
			"ɐ"		"[ʌ]"		
					"[ɛ]"	"Word-medially between a palatal consonant and r or when preceding an r followed by iy"	
			"u"		"[ʊ]"	"""In word-initial position"""	
					"[wʊ]"	"""In word-initial position"""	
					"[wə]"	"""In word-initial position; common free-variant in word-medial position"""	
			"iː"				
			"ɐː"	"""Before a single consonant and in stressed syllables"""			
			"uː"				
							
							
"amn"	"Amanab"		"p"				"amn_minch1992.pdf"
			"t"				
			"k"				
			"b"				
			"ɡ"				
			"m"				
			"n"				
			"ŋ"				
			"f"				
			"s"				
			"r"				
			"w"				
			"j"				
			"h"				
			"i"				
			"u"				
			"e"		"[i]"	"""In the final syllable of the stem and on all affixes to the right"""	
			"o"				
			"a"		"[i]"	"""In the final syllable of the stem and on all affixes to the right"""	
							
							
"anu"	"Anywa"		"b"		"[p]"	"""Morpheme-final stops which come to occupy a word-final position are realized voiceless"""	"anu_reh1996.pdf"
			"p"				
			"m"				
			"w"				
			"d̪"		"[t̪]"	"""Morpheme-final stops which come to occupy a word-final position are realized voiceless"""	
			"t̪"				
			"<n̪>"	"marginal status"			
			"d"		"[t]"	"""Morpheme-final stops which come to occupy a word-final position are realized voiceless"""	
			"t"				
			"n"		"[n̪]"	"""emerges in the presence of a dental stop in the same word as a result of consonant harmony"""	
			"l"				
			"r"				
			"ɟ"		"[ɟː]"	"""Before vowel-initial nouns"""	
					"[c]"	"""Morpheme-final stops which come to occupy a word-final position are realized voiceless"""	
			"c"				
			"ɲ"				
			"j"				
			"ɡ"		"[k]"	"""Morpheme-final stops which come to occupy a word-final position are realized voiceless"""	
			"k"				
			"ŋ"				
			"ɪ"				
			"ɛ"				
			"a"				
			"ʊ"				
			"ɔ"				
			"i"				
			"e"				
			"ʌ"				
			"o"				
			"u"				
			"ɪː"				
			"ɛː"				
			"aː"				
			"ʊː"				
			"ɔː"				
			"iː"				
			"eː"				
			"ʌː"				
			"oː"				
			"uː"				
			"ɪɛ"				
			"ʊɔ"				
			"ie"				
			"uo"				
			"˦"				
			"˧"				
			"˨"				
			"˩˥"				
							
							
"jbj"	"Arandai"		"p"		"[p]"	"""Free variant"""	"jbj_voorhoeve1985.pdf"
					"[pf]"	"""Free variant""; affricated"	
			"b"		"[b]"		
					"[mb]"	"""In word-initial position"""	
			"β"				
			"m"				
			"t"	"interdental plosive"			
			"d"	"interdental plosive"	"[d]"		
					"[d̪]"		
					"[nd]"	"""In word-initial position"""	
			"ɟ"				
			"ð"				
			"n"				
			"k"		"[k]"	"""Free variant"""	
					"[kx]"	"""Free variant""; affricated"	
			"ɡ"		"[ɡ]"		
					"[ŋɡ]"	"""In word-initial position"""	
			"ɾ"				
			"ɣ"				
			"i"				
			"e"				
			"a"				
			"u"				
			"o"				
							
							
"aon"	"Arapesh"		"a"				"aon_fortune1942.pdf"
			"e"				
			"i"				
			"o"				
			"u"				
			"ø"				
			"y"				
			"pʰ"				
			"b"				
			"t̪ʰ"				
			"d̪"				
			"kʰ"		"[ɣ]"	"""When used within a word, and between two vowels of the word"""	
					"[χ]"	"""When used within a word, and between two vowels of the word"""	
			"ɡ"				
			"ʔ"				
			"dz"				
			"m"				
			"n"				
			"ɲ"				
			"s"				
			"ʃ"				
			"h"				
			"l"		"[r]"		
							
"tcb"	"Tanacross"		"t"				"tcb_holton2000.pdf"
			"tʰ"				
			"tʼ"				
			"ts"				
			"tsʰ"				
			"tsʼ"				
			"tl"				
			"tɬʰ"				
			"tɬʼ"				
			"t̪θ"				
			"t̪θʰ"				
			"t̪θʼ"				
			"t̠ʃ"				
			"t̠ʃʰ"				
			"t̠ʃʼ"				
			"k"				
			"kʰ"		"[kx]"	"in syllable onset position, very heavily affricated."	
			"kʼ"				
			"ʔ"				
			"s"		"[s̬]"	"in stem syllable onsets"	
			"z"				
			"ɬ"				
			"l"				
			"ð"				
			"θ"		"[θ̬]"	"in stem syllable onsets"	
			"ʃ"				
			"ʒ"				
			"x"				
			"ɣ"		"[ɣʷ]"	"in stem final position"	
			"h"				
			"m"		"[m]"	"""Immediately preceding a vowel"""	
					"[u]"	"""Free variation""; when not preceding a vowel in free variation with [w]"	
					"[w]"	"""Free variation""; when not preceding a vowel in free variation with [u]"	
					"[b]"	"in stem syllables which do not contain a tautosyllabic nasal segment"	
					"[mb]"	"in stem syllables which do not contain a tautosyllabic nasal segment"	
			"n̥"				
			"n"		"[n]"		
					"[nd]"	"+__V[-nas] C[-nas] (where + signifies a stem boundary)"	
			"j̥"		"[j̥]"	"""Varies freely"""	
					"[ç]"	"""Varies freely""; in stem final position"	
			"j"				
			"i"		"[i]"		
					"[ɪ]"	"""In closed prefix syllables in which the coda is not occupied by a glottal consonant"""	
			"e"				
			"ɛ"		"[ɛ]"		
					"[æ]"	"free variation between speakers"	
					"[a]"	"""Preceding a velar fricative"""	
					"[ɐ]"	"""Preceding a velar fricative"""	
			"u"				
			"o"		"[o]"		
					"[ɤ]"	"free variation, especially preceded an unrounded vowel in a prefix syllable"	
			"a"		"[a]"		
					"[ɑ]"		
			"iː"				
			"eː"				
			"aː"				
			"uː"				
			"ĩ"				
			"ẽ"				
			"ã"				
			"ũ"				
			"˨"				
			"˦"				
			"˩˥"				
			"˥˩"				
			"˥"				
							
"avt"	"Au"		"p"				"avt_scorza1985.pdf"
			"t"				
			"k"				
			"s"				
			"ɣ"				
			"m"				
			"n"				
			"ɾ"				
			"w"				
			"j"				
			"i"		"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
			"ɨ"		"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
			"u"		"[ɨ]"	"""When followed by p or when a pronoun object is suffixed to the verb"""	
					"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
			"ə"		"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
			"o"		"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
			"ɐ"		"[ə]"	"""When followed by p or when a pronoun object is suffixed to the verb"""	
			"ɐː"		"[ɐ]"	"""All initial verb stem vowels alter to a when future tense/aspect is formed"""	
							
							
"tpz"	"Tinputz"		"p"		"[pʰ]"	"""Word finally"""	"tpz_loving1975.pdf"
					"[p]"	"""Word initially and medially"""	
			"t"		"[t]"	"""Word initially and medially"""	
					"[tʰ]"	"""Word finally"""	
			"k"		"[k]"	"""Word initially and medially"""	
					"[kʰ]"	"""Word finally"""	
					"[k̠]"	"""Voiceless backed velar unaspirated stop occurs word initially and medially in non-stressed syllables whose nuclei are filled by high back and mid back vowel"""	
					"[k̠ʰ]"	"""Voiceless backed velar aspirated stop occurs word finally in non-stressed syllables whose nuclei are filled by mid back vowel"""	
			"ʔ"		"[ʔ]"	"""Word medially"""	
					"[ʔʰ]"	"""Word finally"""	
			"β"				
			"s"				
			"h"		"[h]"	"""Occurs initially in all environments, medially after the low central vocoid and mid and low back vocoids, and finally after the low central and low back vocoids"""	
					"[x]"	"""Occurs medially after the front vocoids and high back vocoids, finally after the front vocoids and high and mid back vocoids"""	
			"m"				
			"n"		"[n]"	"""Occurs word initially, medially, and finally"""	
					"[ŋ]"	"""Occurs only preceding voiceless velar stop"""	
			"l"		"[l]"	"""Occurs word initially and medially in non-contrastive free variation"""	
					"[ɬ]"	"""Occurs word initially and medially in non-contrastive free variation"""	
			"w"				
			"j"				
			"i"				
			"e"				
			"æ"		"[æː]"		
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"iː"				
			"eː"				
			"aː"				
			"uː"				
			"oː"				
			"ɔː"				
			"ai"				
							
							
"pex"	"Petats"	"Petats central"	"p"				"pex_loving1975.pdf"
			"b"		"[b]"	"""Occurs word initially, and medially when initiating a root which is prefixed or reduplicated"""	
					"[β]"	"""Occurs root medially and occasionally root or word initially with some speakers"""	
			"t"				
			"k"				
			"ɡ"		"[ɡ]"	"""Word initially and medially"""	
					"[ɣ]"	"""Word medially, and occasionally root or word initially with some speakers"""	
			"s"				
			"t̠ʃ"				
			"h"				
			"m"				
			"n"				
			"ŋ"				
			"l"				
			"r"		"[r]"	"""Word initially, medially, and finally"""	
					"[ɾ]"	"""Free variant"""	
			"w"				
			"j"				
			"iː"				
			"i"				
			"e̝"		"[e̝]"	"""Word medially and finally in open syllables"""	
					"[e̝ː]"	"""Word medially in closed syllables, and word finally as an occasional non-contrastive variation"""	
			"e"				
			"ei"		"[ei]"	"""Word initially, medially, and finally"""	
					"[ɛi]"	"""When following a consonant, as generally pronounced by older people"""	
			"a"				
			"ai"		"[ai]"	"""Word initially, medially, and finally"""	
					"[ɛi]"	"""When following a vowel, as generally pronounced by older people"""	
					"[ae]"	"""When followed by word final h"""	
			"au"		"[au]"	"""Word initially, and occurs word medially and finally after consonants"""	
					"[ɔ]"	"""Word finally after vowels, and medially only in reduplicated form"""	
			"aː"				
			"ø"				
			"uː"				
			"u"				
			"o"				
			"ou"				
			"o̝"		"[o̝]"	"""Word medially and finally, in open syllables only"""	
					"[oː]"	"""Word medially, in closed syllables only"""	
							
							
"ptp"	"Patep"	"Mahomba"	"p"				"ptp_loving1975.pdf"
			"pʲ"				
			"pʷ"				
			"t"				
			"tʲ"				
			"k"				
			"kʷ"				
			"mb"		"[mb]"	"""Word initially and medially"""	
					"[mp]"	"""Word finally"""	
			"mbʲ"				
			"mbʷ"				
			"nd"		"[nd]"	"""Word initially and medially"""	
					"[nt]"	"""Word finally"""	
			"ndʲ"				
			"ŋɡ"				
			"ŋɡʷ"				
			"s"				
			"h"				
			"β"				
			"βʲ"				
			"ndz"				
			"j"				
			"ɣ"				
			"w"				
			"m"				
			"mʲ"				
			"mʷ"				
			"l"		"[l]"	"""Word initially and medially"""	
					"[ɬ]"	"""With friction word finally"""	
			"n"				
			"nʲ"				
			"ŋ"				
			"ŋʷ"				
			"i"				
			"e"				
			"ɛ"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"uː"				
			"ɔː"				
			"iː"				
			"eː"				
			"aː"				
			"ɛː"				
			"oː"				
							
							
"kcl"	"Kela"	"Apoze"	"p"				"kcl_loving1975.pdf"
			"t"				
			"k"				
			"b"				
			"d"				
			"ɡ"				
			"s"				
			"z"				
			"<dz>"	"not clear whether this is a phoneme"			
			"m"				
			"n"				
			"ŋ"				
			"l"				
			"r"				
			"w"				
			"j"				
			"i"		"[ɪ]"	"""in closed syllables"""	
			"e"		"[ɛ]"	"""Occurs in closed syllables"""	
					"[e]"	"""Occurs elsewhere"""	
			"ĩ"				
			"ẽ"				
			"a"				
			"ã"				
			"u"		"[ʊ]"	"""Occurs in closed syllables"""	
					"[u]"	"""Occurs elsewhere"""	
			"ũ"				
			"o"		"[ɔ]"	"""Occurs in closed syllables"""	
					"[o]"	"""Occurs elsewhere"""	
			"õ"				
			"ai"				
			"ae"				
			"au"				
			"oi"				
							
							
"sgz"	"Sursurunga"	"East Coast"	"p"		"[pʷ]"	"""Occurs syllable initially"""	"sgz_loving1975.pdf"
					"[p̚]"	"""Following a rounded vowel"""	
			"t"		"[t]"	"""Occurs syllable initially"""	
					"[t̚]"	"""In free variation syllable finally"""	
			"k"		"[k]"	"""Occurs syllale initially and finally"""	
					"[k̚]"	"""In free variation word finally"""	
					"[kʰ]"	"""In free variation word finally"""	
			"b"		"[bʷ]"		
					"[mbʷ]"		
			"d"		"[d]"		
					"[nd]"	"free variation"	
					"[ɖ]"	"""in free variation … word medially"""	
			"ɡ"		"[ɡ]"		
					"[ŋɡ]"	"free variation"	
			"s"				
			"h"				
			"m"		"[mʷ]"	"""Occurs syllable initially"""	
					"[m]"	"""Occurs syllable finally"""	
			"n"				
			"ŋ"				
			"l"				
			"r"				
			"w"				
			"j"				
			"i"				
			"e"				
			"ɐ"				
			"u"		"[ʉ]"	"""Occurs word medially and finally following /i/ """	
					"[u]"	"""Occurs word medially and finally contiguous to another vocoid"""	
					"[ʊ]"	"""Occurs in all positions elsewhere"""	
			"o"				
			"ə"				
							
							
"awx"	"Awara"		"b"		"[b]"		"awx_quigley2003.pdf"
					"[mb]"	"intervocalically; free variation with [mp]"	
					"[mp]"	"intervocalically; free variation with [mb]"	
					"[p]"		
			"d"		"[d]"		
					"[nd]"	"intervocalically; free variation with [nd]"	
					"[nt]"	"intervocalically; free variation with [nt]"	
					"[t]"		
			"ɡʷ"				
			"ɡ"		"[ɡ]"		
					"[ŋɡ]"	"intervocalically; free variation with [ŋg]"	
					"[ŋk]"	"intervocalically; free variation with [ŋg]"	
					"[k]"		
			"p"		"[p]"		
					"[pʰ]"	"intervocalic"	
					"[p̚]"	"word final"	
			"t"		"[t]"		
					"[tʰ]"	"intervocalic"	
					"[t̚]"	"word final"	
			"kʷ"				
			"k"		"[k]"		
					"[kʰ]"	"intervocalic"	
					"[k̚]"	"word final"	
			"<ʔ>"			"epenthetic word initially before vowels; ""it exists word-medially in a small closed set of interjections"""	
			"β"		"[β]"		
					"[w]"	"in free variation intervocalically and word initially"	
					"[v]"	"in free variation intervocalically and word initially"	
			"ɣ"				
			"s"		"[s]"		
					"[ʃ]"	"suffix aternation"	
			"h"				
			"m"				
			"n"				
			"ŋʷ"				
			"ŋ"				
			"l"		"[l]"	"in free variation intervocalically"	
					"[ɾ]"	"in free variation intervocalically"	
					"[r]"	"in free variation intervocalically"	
			"j"				
			"i"		"[i]"		
					"[ɪ]"	"""Generally occurs before [l] and [m]"""	
			"e"		"[e]"		
					"[ɛ]"	"""Generally occurs before [l] and [m]"""	
			"ʌ"				
			"ɐ"				
			"o"				
			"u"		"[u]"		
					"[ʊ]"	"""Generally occurs before [l] and [m]"""	
							
							
"azo"	"Awing"		"i"				"azo_azieshi1994.pdf"
			"e"				
			"ɛ"				
			"ɨ"				
			"ə"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"iː"				
			"eː"				
			"ɛː"				
			"ɨː"				
			"əː"				
			"aː"				
			"oː"				
			"ɔː"				
			"p"				
			"β"				
			"pʲ"				
			"mb"		"[mb]"	"initially before any vowel except [ɛ] and [ɔ]"	
					"[p]"	"initially before [ɛ] and [ɔ] and in other intervocalic positions"	
					"[pʲ]"	"intervocalically before [a]"	
					"[β]"	"word finally"	
			"mbʷ"				
			"m"				
			"mʲ"				
			"t"				
			"f"				
			"tʲ"				
			"tʷ"				
			"d"				
			"ts"				
			"nd"		"[nd]"	"initially before vowels other than [a], [e], and [ɨ]"	
					"[t]"	"initially before [a], [e], [ɨ] and intervocalically"	
					"[tʲ]"	"intervocalically before [a]"	
					"[d]"	"absolute finally"	
			"n"				
			"s"				
			"z"				
			"l"				
			"lʷ"				
			"n̠d̠ʒ"				
			"ɲ"				
			"t̠ʃ"				
			"ʃ"				
			"ʃʷ"				
			"ʒ"				
			"ʒʷ"				
			"k"				
			"kʲ"				
			"kʷ"				
			"x"				
			"ŋɡ"		"[ŋɡ]"	"initially before vowels other than [a]"	
					"[k]"	"?"	
					"[x]"	"finally"	
					"[ɣ]"	"after a vowel before [ɘ] and [n]"	
			"ŋɡʲ"				
			"ŋɡʷ"				
			"ŋ"				
			"ŋʷ"				
			"ɣ"				
			"ʔ"				
			"j"				
			"w"				
							
							
"kmn"	"Awtuw"		"pʰ"		"[pʰ]"		"kmn_feldman1986.pdf"
					"[p]"	"""Word finally"""	
					"[b]"	"""Following a nasal preceded by a stressed vowel"""	
			"tʰ"		"[tʰ]"		
					"[t]"	"""Word finally"""	
					"[d]"	"""Following a nasal preceded by a stressed vowel"""	
			"kʰ"		"[kʰ]"		
					"[k]"	"""Word finally"""	
					"[ɡ]"	"""Following a nasal preceded by a stressed vowel"""	
			"m"				
			"n"		"[m]"	"before /p/"	
					"[ŋ]"	"before /k/"	
			"ŋ"				
			"ɾ"		"[ɾ]"	"""Free variation"""	
					"[r]"	"""Free variation"""	
			"d"				
			"l"				
			"w"				
			"j"				
			"i"				
			"e"				
			"æ"				
			"ə"				
			"u"				
			"o"				
			"a"				
							
							
"bbw"	"Baba"		"p"		"[b]"	"when preceded by a nasal"	"bbw_nashipu2005.pdf"
			"m"				
			"f"				
			"v"				
			"t"				
			"n"				
			"s"				
			"l"		"[d]"	"when preceded by a nasal"	
			"r"		"[dz]"	"when preceded by a nasal"	
			"ts"				
			"dz"				
			"j"		"[d̠ʒ]"	"when preceded by a nasal"	
			"ʃ"				
			"ʒ"				
			"d̠ʒ"				
			"ɲ"				
			"k"				
			"ɡ"				
			"ŋ"				
			"x"				
			"ɣ"		"[ɡ]"	"when word initial before [i] and [y]; when preceded by a nasal (?)"	
			"w"		"[ɡ]"	"when preceded by a nasal (?)"	
			"ŋm"				
			"i"				
			"e"				
			"u"				
			"ɨ"				
			"ə"				
			"a"				
			"o"				
							
							
"bbk"	"Babanki"		"b"		"[b]"		"bbk_akumbu1999.pdf"
					"[bʰ]"	"""Occurs only before [ɨ]"""	
					"[bʷ]"	"""Occurs only before [a]"""	
			"m"		"[m]"		
					"[mʷ]"	"""Occurs only before [i]"""	
			"w"				
			"f"				
			"v"				
			"pf"				
			"bv"				
			"t"		"[t]"		
					"[tʰ]"	"""Occurs only before [i]"""	
					"[tʲ]"	"""Occurs only before [u]"""	
			"d"		"[d]"		
					"[dʷ]"	"""Occurs only before [ə]"""	
			"s"				
			"z"				
			"ts"				
			"dz"				
			"n"		"[n]"		
					"[nʷ]"	"""Occurs only before [i]"""	
			"l"		"[l]"		
					"[lʷ]"	"""Occurs only before [i]"""	
					"[lʲ]"	"""Occurs only before [u]"""	
			"t̠ʃ"				
			"d̠ʒ"				
			"ʃ"				
			"ʒ"				
			"j"				
			"ɲ"				
			"k"		"[k]"		
					"[kʰ]"	"""Occurs only before [a]"""	
					"[kʷ]"	"""Occurs only before [ɔ]"""	
			"ɡ"				
			"ɣ"				
			"ŋ"				
			"ʔ"				
			"i"				
			"e"				
			"ɨ"				
			"ə"				
			"a"				
			"u"		"[y]"	"before [i]"	
			"o"				
							
							
							
"bkh"	"Bakoko"		"i"				"bkh_edika1990.pdf"
			"e"				
			"ɛ"				
			"u"				
			"o"				
			"ɔ"				
			"a"				
			"p"				
			"b"				
			"mb"				
			"m"				
			"bʷ"				
			"mbʷ"				
			"f"				
			"t"				
			"d"				
			"nd"				
			"s"				
			"l"				
			"ɾ"				
			"t̠ʃ"				
			"d̠ʒ"				
			"n"				
			"j"				
			"ɲ"				
			"k"				
			"ŋɡ"				
			"ŋ"				
			"ɣ"				
			"kʷ"				
			"ŋɡʷ"				
			"w"				
			"ɦ"				
							
							
"muo"	"Bali-Kumbat"		"p"				"muo_kouonang1983.pdf"
			"b"				
			"m"				
			"f"				
			"v"				
			"t̪"				
			"d̪"				
			"n̪"				
			"nd̪"				
			"l̪"				
			"s"				
			"z"				
			"ɲ"				
			"j"				
			"k"				
			"ɡ"				
			"ŋ"				
			"h"				
			"ŋɡ"				
			"ŋʷ"	'"Difficult to tell from the author''s description. Could also be /mŋ/"'			
			"kp"				
			"ɡb"				
			"w"				
			"i"				
			"e"				
			"ɛ"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"ə"				
			"iː"				
			"eː"				
			"ɛː"				
			"aː"				
			"ɔː"				
			"uː"				
			"˦"				
			"˧"				
			"˨"				
			"˩˥"				
			"˥˩"				
							
							
							
"bvm"	"Bamunka"		"b"		"[b]"	"Preceding u, a, ɔ, ə"	"bvm_ngeloh2002.pdf"
					"[bʷ]"	"Preceding u, a, ə"	
					"[bʲ]"	"Preceding a"	
			"w"				
			"m"				
			"f"		"[f]"	"Preceding ɛ, u, ɪ ɔ, a"	
					"[fʲ]"	"Preceding a"	
			"v"		"[v]"	"Preceding a, ɪ, ɛ"	
					"[vʲ]"	"Preceding a"	
			"t̪"		"[t̪]"	"Preceding ə, ɨ, u"	
					"[tʷ]"	"Preceding ə"	
					"[tʲ]"	"Preceding ə, a"	
			"d̪"		"[d]"	"Preceding ə, a, u"	
					"[dʷ]"	"Preceding ə, ɔ"	
					"[dʲ]"	"Preceding ə"	
			"n"		"[n]"	"Preceding ɔ, ɛ, u"	
					"[nʷ]"	"Preceding i, o, ɔ"	
			"l"		"[l]"	"Preceding u, ə"	
					"[lʷ]"	"Preceding i"	
			"s"		"[s]"	"Preceding ɪ, u, ɔ, ɛ, ə"	
					"[sʷ]"	"Preceding ɔ, ə"	
			"ʃ"		"[ʃ]"	"Preceding i, ʉ"	
					"[ʃʷ]"	"Preceding ɔ, ə"	
			"ʒ"		"[ʒ]"	"Preceding o, i, ɔ, u"	
					"[ʒʷ]"	"Preceding ɔ"	
			"t̠ʃ"				
			"d̠ʒ"				
			"k"		"[k]"	"Preceding u, ə, e, ɛ"	
					"[kʷ]"	"Preceding ɛ, ɪ, ɔ"	
					"[kʲ]"	"Preceding a, ə"	
			"ɡ"		"[ɡ]"	"Preceding u, ə"	
					"[ɡʷ]"	"Preceding ɛ, ɔ"	
					"[ɡʲ]"	"Preceding ə, e"	
			"ɣ"				
			"ɲ"				
			"ŋ"		"[ŋ]"	"Preceding ɔ, k, t"	
					"[ŋʷ]"	"Preceding ɔ, e"	
			"kp"				
			"ʔ"				
			"h"				
			"j"				
			"i"				
			"e"				
			"ɛ"				
			"ɨ"				
			"ə"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
							
							
"bgj"	"Bangolan"		"p"				"bgj_mbah2003.pdf"
			"b"		"[p]"	"Initial and medial position"	
					"[b]"	"Medial position; occur only after nasal consonants"	
			"t"		"[t]"		
					"[tʰ]"	"""Only before a syllable-final [u] in an open syllable that has none of the 3 prosodies"""	
			"d"		"[d]"	"Medial position; occur only after nasal consonants"	
					"[l]"	"Initial position"	
					"[ɾ]"	"Medial position; only following syllable-final consonants or between vowels inside a root"	
			"k"		"[k]"	"Initial and medial position"	
					"[ʔ]"	"Medial and final position; occurs only in syllable-final position or between vowels inside a root"	
			"ɡ"		"[ɡ]"	"Medial position; occur only after nasal consonants"	
					"[ɣ]"	"Initial and medial position"	
			"ʔ"				
			"θ"				
			"f"				
			"v"				
			"s"		"[s]"	"Occurs only in syllables without palatalization or labialization"	
					"[ʃ]"	"Occurs only in syllables that are palatalized or labialised"	
			"z"		"[z]"	"Initial and medial position; occurs only in syllables without palatalization or labialization"	
					"[dz]"	"Medial position; occur only after nasal consonants; occurs only in syllables without palatalization or labialization"	
					"[ʒ]"	"Initial and medial position; occurs only in syllables that are palatalized or labialised"	
					"[d̠ʒ]"	"Medial position; occur only after nasal consonants; only in syllables that are palatalized or labialised"	
			"ʃ"				
			"ʒ"				
			"ɣ"				
			"h"				
			"ts"		"[ts]"	"Occurs only in syllables without palatalization or labialisation"	
					"[t̠ʃ]"	"Occurs only in syllables that are palatalized or labialised"	
			"dz"				
			"t̠ʃ"				
			"d̠ʒ"				
			"m"				
			"n"				
			"ŋ"				
			"ɾ"				
			"l"				
			"j"				
			"w"				
			"i"				
			"e"				
			"ɛ"				
			"ɨ"				
			"ə"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"˦"				
			"˦"				
			"˦˨"				
			"˩˥"				
			"˥˩"				
							
							
"bnm"	"Banoo"		"i"				"bnm_kouankem2003.pdf"
			"e"				
			"ɛ"				
			"a"				
			"u"				
			"o"				
			"ɔ"				
			"p"				
			"t̪"				
			"c"				
			"k"				
			"ɓ"				
			"ɗ̪"				
			"ʄ"				
			"mb"				
			"nd"				
			"ɲʄ"				
			"ŋɡ"				
			"m"				
			"n"				
			"ɲ"				
			"ŋ"				
			"f"				
			"s"				
			"v"				
			"l"				
			"y"				
			"w"				
			"˦"				
			"˧"				
			"˨"				
							
							
"bch"	"Bariai"		"p"		"[p]"		"bch_gallagher2005.pdf"
					"[p̚]"	"In free variation utterance finally"	
			"t"		"[t]"		
					"[t̚]"	"In free variation utterance finally"	
			"k"		"[k]"		
					"[k̚]"	"In free variation utterance finally"	
			"b"		"[b]"		
					"[β]"	"Varies freely in non-word-initial environments and not after a homorganic nasal; always in intervocalic, non-morpheme initial positions"	
					"[p]"	"utterance finally"	
			"d"		"[d]"		
					"[ɾ]"	"Varies freely in non-word-initial environments and not after a homorganic nasal"	
					"[ɾ̥]"	"utterance finally"	
			"ɡ"		"[ɡ]"		
					"[ɣ]"	"Varies freely in non-word-initial environments and not after a homorganic nasal; never word finally"	
					"[k]"	"utterance finally"	
			"s"				
			"m"				
			"n"		"[n]"		
					"[n̥]"	"When occuring in consonant clusters with voiceless plosives"	
			"ŋ"		"[ŋ]"		
					"[ŋ̥]"	"When occuring in consonant clusters with voiceless plosives"	
			"l"		"[l]"		
					"[l̥]"	"When occuring in consonant clusters with voiceless plosives"	
			"r"		"[r]"		
					"[r̥]"	"When occuring in consonant clusters with voiceless plosives"	
			"i"		"[i]"		
					"[̯i̯]"	"""Preceding any other vowel and following either a word boundary or another vowel"""	
					"[ɪ]"		
					"[iː]"		
			"e"		"[e]"		
